index,foundation,project,field,location
221,湖南省老龄事业发展基金会,重阳节走访慰问革命老区困难老人活动,公共服务,湖南省张家界市慈利县
222,湖南省老龄事业发展基金会,新春慰问社区困难老人活动,公共服务,湖南省长沙市开福区
223,湖南省老龄事业发展基金会,新春慰问敬老院老人活动,公共服务,湖南省郴州市北湖区
224,山西省创业就业基金会,创业帮扶项目,创业,山西省
225,湖南省宁乡一中教育基金会,春晖班慈善助学,教育,湖南省长沙市宁乡县
226,湖南省宁乡一中教育基金会,教师节奖教奖学,教育,湖南省长沙市宁乡县
227,湖南省宁乡一中教育基金会,春晖班教师慰问,教育,湖南省长沙市宁乡县
228,湖南省宁乡一中教育基金会,富基春晖班学生学习考察,教育,山东省青岛市
229,湖南省宁乡一中教育基金会,政协双百活动,教育,湖南省长沙市宁乡县
230,山西省妇女儿童发展基金会,“母亲邮包”公益活动,卫生保健,山西省
231,湖南省青少年发展基金会,雅安抗震救灾行动,安全救灾,四川省雅安市芦山县
232,湖南省青少年发展基金会,国酒茅台助学金,教育,湖南省
233,湖南省青少年发展基金会,希望工程一元捐,教育,湖南省
234,湖南省青少年发展基金会,微益中国,教育,全国
235,湖南省青少年发展基金会,芙蓉学子助学金,教育,湖南省长沙市
236,湖南省青少年发展基金会,广发慈善基金,教育,湖南省
237,湖南省青少年发展基金会,中华古诗文丛书,教育,湖南省
238,湖南省青少年发展基金会,皇爷阳光助学行动,教育,湖南省长沙市
239,湖南省青少年发展基金会,希望工程学生资助项目,教育,湖南省
240,湖南省青少年发展基金会,希望小学建设项目,教育,湖南省
241,湖南省青少年发展基金会,快乐课桌,教育,湖南省
242,湖南省青少年发展基金会,希望工程专项活动,教育,湖南省
243,南航“十分”关爱基金会,向华南理工大学捐赠20万元助学金,教育,广东省广州市
244,南航“十分”关爱基金会,向中国民航大学捐赠20万元助学金,教育,天津市
245,南航“十分”关爱基金会,向贵州大学捐赠20万元助学金,教育,贵州省
246,南航“十分”关爱基金会,向阿勒泰第三高级中学捐赠12万元助学金,教育,新疆维吾尔自治区阿勒泰地区
247,南航“十分”关爱基金会,向广州民航职业技术学院捐赠20万元助学金,教育,广东省广州市
248,南航“十分”关爱基金会,向广东外语外贸大学捐赠20万元助学金,教育,广东省
249,南航“十分”关爱基金会,向重庆大学捐赠20万元助学金,教育,重庆市
250,南航“十分”关爱基金会,向中国民用航空飞行学院捐赠20万元助学金,教育,四川省成都市
251,南航“十分”关爱基金会,向吉林大学捐赠20万元助学金,教育,吉林省
252,南航“十分”关爱基金会,向天津大学捐赠20万元助学金,教育,天津市
253,南航“十分”关爱基金会,向大连海事大学捐赠20万元助学金,教育,辽宁省大连市
254,南航“十分”关爱基金会,向青海玉树地震灾区捐赠1225786.1元救灾款,安全救灾,青海省玉树藏族自治州
255,南航“十分”关爱基金会,向四川芦山地震灾区捐赠3565441元救灾款,安全救灾,四川省
256,南航“十分”关爱基金会,向湖北“万名干部进万村入万户”活动捐赠199963元扶贫款,扶贫助困,湖北省
257,桃源居公益事业发展基金会,云南盐津县庙坝乡楠木小学项目,教育,云南省昭通市盐津县
258,桃源居公益事业发展基金会,捐助四川雅安抗震救灾项目,安全救灾,四川省雅安市
259,桃源居公益事业发展基金会,捐助中国公益慈善项目交流展示会(第二届)项目,公益行业发展,广东省深圳市
260,桃源居公益事业发展基金会,捐助母亲邮包项目,扶贫助困,全国
261,桃源居公益事业发展基金会,捐助中国社会组织促进会项目,公益行业发展,全国
262,桃源居公益事业发展基金会,捐助助力弱势群体项目,公共服务,广东省深圳市
263,桃源居公益事业发展基金会,捐助重庆桃源居社区教育和职业技能培训,卫生保健,重庆市
264,桃源居公益事业发展基金会,深圳政府培育社区组织项目：发起成立深圳市社会企业责任研究院,公益行业发展,广东省深圳市
265,桃源居公益事业发展基金会,公益星火--中国慈善人才高级研修班项目,公益行业发展,全国
266,桃源居公益事业发展基金会,捐助深圳桃源居社区公益组织能力建设奖励基金,公益行业发展,全国
267,桃源居公益事业发展基金会,捐助慈善年会项目,公益行业发展,北京市
268,腾讯公益慈善基金会,筑梦新乡村项目,三农,云南省，贵州省
269,腾讯公益慈善基金会,立体救灾项目,安全救灾,四川省，甘肃省定西市，广东省潮州市
270,腾讯公益慈善基金会,互动公益平台项目,公共服务，公益行业发展,
271,腾讯公益慈善基金会,生态及文化保育项目,动物保护,四川省
272,腾讯公益慈善基金会,扶贫济困项目,社区发展，心理健康，医疗救助,广东省
273,腾讯公益慈善基金会,社会组织发展项目,公益行业发展,
274,腾讯公益慈善基金会,教育及公益倡导项目,教育,北京市，广东省深圳市
275,香江社会救助基金会,香江爱心图书室,公共服务,广东省广州市海珠区
276,香江社会救助基金会,香江孤儿援助,扶贫助困,广东省广州市
277,香江社会救助基金会,香江卓越教育基金,教育,广东省
278,香江社会救助基金会,扶贫济困,公共安全,
279,香江社会救助基金会,社区及农村民生建设,三农,广东省河源市
