基金会名称,净资产,总支出,总收入,费用合计,label
广东省广东外语外贸大学教育发展基金会,79863256.17,9510116.77,29887280.94,9523369.77,4
广东省广州中医药大学教育发展基金会,62397338.71,3194521.62,21882428.91,3194521.62,4
广东省广铝公益基金会,4002671.6,2374026.11,4374000.01,2371378.26,1
广东省广雅教育发展基金会,24237248.32,7016576.26,9974180.76,7030945.46,0
广东省志愿者事业发展基金会,49181880.12,18257323.72,27608199.8,18257323.72,7
广东省惠民慈善基金会,4129045.02,146393.92,68954.32,146791.92,2
广东省慧灵智障人士扶助基金会,7851349.55,9567121.71,11972650.13,9567121.71,1
广东省执信教育发展基金会,19085489.35,2168588.48,4667041.81,2168588.48,6
广东省扶贫基金会,875258528.4,1245033597,1246028195,1245033597,8
广东省教育基金会,157292333.5,42110087.32,57043051.61,42269305.4,0
广东省方圆公益基金会,17742884.31,9282455.24,6711228.38,10254937.38,5
广东省明德幸福文化教育基金会,7316140.39,3440237.43,6107544.7,3679817.55,7
广东省春桃慈善基金会,5467396.52,6162673.44,7925162.64,6175692.5,1
广东省消防救助基金会,93147236.87,7201182.16,17821063.75,7201182.16,6
广东省潮商公益基金会,12275254.34,48233684.07,42177965.05,48234658.67,8
广东省烛光教育发展基金会,4802851.49,853997.5,3717186.17,854760.5,3
广东省环境保护基金会,24480345.02,12603935.6,13774517.04,12625569.12,5
广东省环球公益基金会,14734019.28,1504367.08,917154.57,1509098.28,2
广东省绿景慈善基金会,6066295.59,445490.54,412064.8,410271.1,2
广东省茂华慈善基金会,18782460.52,4737545.46,1948157.61,4738617.64,6
广东省谢汉才慈善基金会,6024390.2,502909.1,2513282.82,509219.1,4
广东省豪爵慈善基金会,41357065.18,23620317,21033699.98,23620317,5
广东省财新公益基金会,6031590.19,2552475.74,3913797.6,2537868.77,7
广东省鸿发慈善基金会,2144071.47,6046387.25,8197205.84,6046387.25,8
广东省麦田教育基金会,26541426.42,27117796.03,34272511.63,26890771,1
